State Name,Charging Stations
Andaman & Nicobar Island,4
Andhra Pradesh,601
Arunachal Pradesh,41
Assam,276
Bihar,347
Chandigarh,13
Chhattisgarh,271
Delhi,1941
DNH and DD,6
Goa,137
Gujarat,992
Haryana,709
Himachal Pradesh,106
Jammu and Kashmir,159
Jharkhand,256
Karnataka,5765
Kerala,1212
Ladakh,1
Madhya Pradesh,903
Maharashtra,3728
Manipur,46
Meghalaya,43
Mizoram,12
Nagaland,28
Odisha,488
Puducherry,41
Punjab,593
Rajasthan,1129
Sikkim,5
Tamil Nadu,1413
Tripura,50
Uttar Pradesh,1989
Uttarakhand,177
West Bengal,763
